"id","framework","domain","control_ref","requirement","description","evidence_examples","responsible_role","frequency","priority","status","notes"
"GDPR-A5.1a","GDPR","Principles","Art.5(1)(a)","Lawfulness, fairness, transparency","Process personal data lawfully, fairly, and transparently.","Privacy notice, lawful basis register","DPO","Annual","High","Not Started",""
"GDPR-A5.1b","GDPR","Principles","Art.5(1)(b)","Purpose limitation","Collect for specified, explicit, legitimate purposes.","Records of Processing Activities (ROPA)","DPO","Annual","High","Not Started",""
"GDPR-A5.1c","GDPR","Principles","Art.5(1)(c)","Data minimization","Limit data to what is necessary.","ROPA, data minimization review","DPO","Annual","High","Not Started",""
"GDPR-A5.1d","GDPR","Principles","Art.5(1)(d)","Accuracy","Keep personal data accurate and up to date.","Update workflows","Privacy","Continuous","Medium","Not Started",""
"GDPR-A5.1e","GDPR","Principles","Art.5(1)(e)","Storage limitation","Retain only as long as necessary.","Retention schedule","DPO","Annual","High","Not Started",""
"GDPR-A5.1f","GDPR","Principles","Art.5(1)(f)","Integrity & confidentiality","Appropriate security of personal data.","Security policy, encryption configs","CISO","Continuous","Critical","Not Started",""
"GDPR-A5.2","GDPR","Principles","Art.5(2)","Accountability","Demonstrate compliance with GDPR principles.","Compliance evidence repository","DPO","Continuous","High","Not Started",""
"GDPR-A6","GDPR","Lawful Basis","Art.6","Lawful basis for processing","Document lawful basis for each processing activity.","Lawful basis register","DPO","Annual","High","Not Started",""
"GDPR-A7","GDPR","Consent","Art.7","Conditions for consent","Freely given, specific, informed, unambiguous; easy to withdraw.","Consent records, CMP screenshots","Privacy","Continuous","High","Not Started",""
"GDPR-A8","GDPR","Consent","Art.8","Child's consent","Verify parental consent for children under 16 (or local age).","Age gate, parental consent flow","Privacy / Product","Continuous","Medium","Not Started",""
"GDPR-A9","GDPR","Special Categories","Art.9","Processing of special category data","Apply enhanced protections and explicit consent/exception.","DPIA, consent records","DPO","Per processing","High","Not Started",""
"GDPR-A10","GDPR","Criminal Data","Art.10","Criminal convictions data","Restrict processing to lawful authority.","Legal opinion, ROPA","Legal","Per processing","Medium","Not Started",""
"GDPR-A12","GDPR","Rights","Art.12","Transparent information & communication","Provide concise, intelligible privacy info; respond to rights within one month.","Privacy notice, DSAR SLA","Privacy","Continuous","High","Not Started",""
"GDPR-A13","GDPR","Rights","Art.13","Information when data collected from subject","Provide notice at point of collection.","Form notices, layered privacy notice","Privacy / Product","Continuous","High","Not Started",""
"GDPR-A14","GDPR","Rights","Art.14","Information when data not from subject","Notify subjects within one month if data obtained indirectly.","Notification templates","Privacy","Per event","Medium","Not Started",""
"GDPR-A15","GDPR","Rights","Art.15","Right of access","Provide copy of personal data on request.","DSAR procedure & logs","Privacy","Per request","High","Not Started",""
"GDPR-A16","GDPR","Rights","Art.16","Right to rectification","Allow correction of inaccurate data.","Self-service edit / ticket workflow","Privacy","Per request","High","Not Started",""
"GDPR-A17","GDPR","Rights","Art.17","Right to erasure (right to be forgotten)","Delete personal data on valid request.","Erasure SOP, deletion logs","Privacy / Eng","Per request","Critical","Not Started",""
"GDPR-A18","GDPR","Rights","Art.18","Right to restriction","Restrict processing on request.","Restriction flag in systems","Privacy / Eng","Per request","Medium","Not Started",""
"GDPR-A19","GDPR","Rights","Art.19","Notification re rectification/erasure/restriction","Notify recipients of changes.","Downstream notification log","Privacy","Per event","Medium","Not Started",""
"GDPR-A20","GDPR","Rights","Art.20","Right to data portability","Provide data in structured machine-readable format.","Export feature, format spec","Engineering","Per request","Medium","Not Started",""
"GDPR-A21","GDPR","Rights","Art.21","Right to object","Honor objections, including marketing opt-out.","Opt-out workflow","Marketing / Privacy","Per request","High","Not Started",""
"GDPR-A22","GDPR","Rights","Art.22","Automated decision-making & profiling","Provide human review for solely automated decisions with legal effect.","ADM inventory, human-review SOP","Privacy / Product","Per process","Medium","Not Started",""
"GDPR-A24","GDPR","Controller","Art.24","Responsibility of the controller","Implement appropriate technical & org measures.","TOMs document","DPO","Annual","High","Not Started",""
"GDPR-A25","GDPR","Privacy by Design","Art.25","Data protection by design and by default","Embed privacy in system design; default to minimum data.","Design reviews, PbD checklist","Engineering","Per project","High","Not Started",""
"GDPR-A26","GDPR","Joint Controllers","Art.26","Joint controller arrangement","Document responsibilities between joint controllers.","Joint controller agreements","Legal","Per agreement","Medium","Not Started",""
"GDPR-A27","GDPR","Representative","Art.27","EU representative for non-EU controllers","Appoint EU/UK representative if applicable.","Appointment letter","Legal","Annual","Medium","Not Started",""
"GDPR-A28","GDPR","Processor","Art.28","Processor contracts","Use written DPAs with processors meeting Art.28 requirements.","Signed DPAs","Legal","Per vendor","Critical","Not Started",""
"GDPR-A30","GDPR","ROPA","Art.30","Records of processing activities","Maintain ROPA for controllers and processors.","ROPA register","DPO","Quarterly","High","Not Started",""
"GDPR-A32","GDPR","Security","Art.32","Security of processing","Implement encryption, resilience, testing, etc.","Security controls evidence","CISO","Continuous","Critical","Not Started",""
"GDPR-A33","GDPR","Breach","Art.33","Notification to supervisory authority","Notify SA within 72 hours of breach awareness.","Breach response plan, notification templates","DPO / IR","As needed","Critical","Not Started",""
"GDPR-A34","GDPR","Breach","Art.34","Communication to data subject","Notify subjects when high risk.","Subject notification templates","DPO","As needed","High","Not Started",""
"GDPR-A35","GDPR","DPIA","Art.35","Data Protection Impact Assessment","Conduct DPIA for high-risk processing.","DPIA reports","DPO","Per project","High","Not Started",""
"GDPR-A36","GDPR","DPIA","Art.36","Prior consultation","Consult SA when DPIA shows residual high risk.","Consultation records","DPO","As needed","Medium","Not Started",""
"GDPR-A37","GDPR","DPO","Art.37","Designation of DPO","Appoint DPO when required.","DPO appointment letter","Executive","One-time","High","Not Started",""
"GDPR-A38","GDPR","DPO","Art.38","Position of DPO","Ensure DPO independence and resources.","Org chart, role description","Executive","Annual","Medium","Not Started",""
"GDPR-A39","GDPR","DPO","Art.39","Tasks of DPO","DPO advises, monitors, trains, liaises with SA.","DPO activity log","DPO","Continuous","Medium","Not Started",""
"GDPR-A44","GDPR","Transfers","Art.44","General principle for transfers","Ensure adequate protection for international transfers.","Transfer impact assessment","Legal","Per transfer","High","Not Started",""
"GDPR-A45","GDPR","Transfers","Art.45","Adequacy decision","Verify destination has adequacy.","Adequacy register","Legal","Annual","Medium","Not Started",""
"GDPR-A46","GDPR","Transfers","Art.46","Appropriate safeguards (SCCs, BCRs)","Use SCCs/BCRs where adequacy absent.","Signed SCCs","Legal","Per vendor","High","Not Started",""
"GDPR-A47","GDPR","Transfers","Art.47","Binding corporate rules","Maintain BCRs if used intra-group.","Approved BCRs","Legal","Annual","Low","Not Started",""
"GDPR-A49","GDPR","Transfers","Art.49","Derogations for specific situations","Document use of derogations.","Transfer log","Legal","Per transfer","Low","Not Started",""
"GDPR-TRN","GDPR","Training","Internal","Privacy training","Annual privacy training for all staff.","Training records","HR / DPO","Annual","High","Not Started",""
