"id","framework","domain","control_ref","requirement","description","evidence_examples","responsible_role","frequency","priority","status","notes"
"SOC2-CC1.1","SOC 2","Control Environment","CC1.1","Demonstrate commitment to integrity and ethical values","Establish and communicate a code of conduct; require acknowledgment by all personnel.","Signed code of conduct, employee handbook, training records","CISO / HR","Annual","High","Not Started",""
"SOC2-CC1.2","SOC 2","Control Environment","CC1.2","Board oversight of internal control","Board/governance committee oversees the design and operation of internal controls.","Board meeting minutes, governance charter","Board / Executive","Quarterly","High","Not Started",""
"SOC2-CC1.3","SOC 2","Control Environment","CC1.3","Establish structures, reporting lines, authorities","Document org chart, roles, and responsibilities for security.","Org chart, RACI matrix, job descriptions","HR / CISO","Annual","Medium","Not Started",""
"SOC2-CC1.4","SOC 2","Control Environment","CC1.4","Attract, develop, retain competent individuals","Background checks, training, performance reviews.","Background check records, training logs","HR","Annual","Medium","Not Started",""
"SOC2-CC1.5","SOC 2","Control Environment","CC1.5","Hold individuals accountable","Disciplinary process for policy violations.","Disciplinary policy, incident records","HR","As needed","Medium","Not Started",""
"SOC2-CC2.1","SOC 2","Communication","CC2.1","Use relevant, quality information","Maintain accurate inventories of systems, data, and vendors.","Asset inventory, data inventory, vendor list","IT / Security","Quarterly","High","Not Started",""
"SOC2-CC2.2","SOC 2","Communication","CC2.2","Internal communication of objectives and responsibilities","Security policies published and communicated to all staff.","Policy portal, training acknowledgments","CISO","Annual","High","Not Started",""
"SOC2-CC2.3","SOC 2","Communication","CC2.3","External communication","Communicate security commitments to customers and vendors.","MSAs, DPAs, trust center content","Legal / Sales","As needed","Medium","Not Started",""
"SOC2-CC3.1","SOC 2","Risk Assessment","CC3.1","Specify objectives clearly","Document security/availability/confidentiality objectives.","Information security policy","CISO","Annual","High","Not Started",""
"SOC2-CC3.2","SOC 2","Risk Assessment","CC3.2","Identify and analyze risks","Perform formal risk assessments at least annually.","Risk register, risk assessment report","Risk Manager","Annual","High","Not Started",""
"SOC2-CC3.3","SOC 2","Risk Assessment","CC3.3","Consider potential for fraud","Include fraud scenarios in risk assessment.","Fraud risk assessment","Risk Manager","Annual","Medium","Not Started",""
"SOC2-CC3.4","SOC 2","Risk Assessment","CC3.4","Identify and assess changes","Change-driven risk reviews for new systems/products.","Change management records","Engineering / Risk","Per change","High","Not Started",""
"SOC2-CC4.1","SOC 2","Monitoring","CC4.1","Conduct ongoing and separate evaluations","Internal audits and continuous control monitoring.","Internal audit reports","Internal Audit","Quarterly","High","Not Started",""
"SOC2-CC4.2","SOC 2","Monitoring","CC4.2","Evaluate and communicate deficiencies","Track findings to remediation.","Issue tracker, remediation plans","CISO","Monthly","High","Not Started",""
"SOC2-CC5.1","SOC 2","Control Activities","CC5.1","Select and develop control activities","Maintain a control catalog mapped to risks.","Control matrix","Compliance","Annual","High","Not Started",""
"SOC2-CC5.2","SOC 2","Control Activities","CC5.2","Technology general controls","Implement IT general controls (access, change, ops).","ITGC documentation","IT","Continuous","High","Not Started",""
"SOC2-CC5.3","SOC 2","Control Activities","CC5.3","Deploy through policies and procedures","Documented procedures for each control.","SOPs, runbooks","Process Owners","Annual","Medium","Not Started",""
"SOC2-CC6.1","SOC 2","Logical Access","CC6.1","Logical access security software, infrastructure, and architectures","Enforce authentication, MFA, least privilege across systems.","IAM config, MFA reports","IT Security","Continuous","Critical","Not Started",""
"SOC2-CC6.2","SOC 2","Logical Access","CC6.2","Register and authorize new users","Formal access provisioning workflow with approvals.","Access request tickets","IT","Per request","High","Not Started",""
"SOC2-CC6.3","SOC 2","Logical Access","CC6.3","Modify and remove access","Timely deprovisioning on role change/termination.","HR offboarding checklist, access logs","IT / HR","Per event","Critical","Not Started",""
"SOC2-CC6.4","SOC 2","Physical Access","CC6.4","Restrict physical access","Badge access, visitor logs at facilities/data centers.","Badge logs, visitor logs","Facilities","Continuous","High","Not Started",""
"SOC2-CC6.5","SOC 2","Logical Access","CC6.5","Discontinue protections after use","Securely dispose of hardware/media.","Destruction certificates","IT Ops","Per event","High","Not Started",""
"SOC2-CC6.6","SOC 2","Logical Access","CC6.6","Logical access security measures against external threats","Firewalls, IDS/IPS, WAF, hardening.","Firewall configs, scan reports","Security Engineering","Continuous","Critical","Not Started",""
"SOC2-CC6.7","SOC 2","Logical Access","CC6.7","Restrict transmission, movement, removal of information","Encrypt data in transit; DLP controls.","TLS configs, DLP policy","Security Engineering","Continuous","High","Not Started",""
"SOC2-CC6.8","SOC 2","Logical Access","CC6.8","Prevent or detect unauthorized software","Endpoint protection, allowlisting.","EDR console, app inventory","IT","Continuous","High","Not Started",""
"SOC2-CC7.1","SOC 2","System Operations","CC7.1","Detect changes that introduce vulnerabilities","Vulnerability scanning and config monitoring.","Scan reports, config baselines","Security Eng","Monthly","High","Not Started",""
"SOC2-CC7.2","SOC 2","System Operations","CC7.2","Monitor system components","Centralized logging and monitoring.","SIEM dashboards","SOC","Continuous","High","Not Started",""
"SOC2-CC7.3","SOC 2","System Operations","CC7.3","Evaluate security events","Triage process for alerts.","Incident tickets","SOC","Continuous","High","Not Started",""
"SOC2-CC7.4","SOC 2","System Operations","CC7.4","Respond to security incidents","Documented IR plan with defined roles.","IR plan, post-mortems","Incident Response","As needed","Critical","Not Started",""
"SOC2-CC7.5","SOC 2","System Operations","CC7.5","Recover from incidents","Recovery runbooks and lessons learned.","Recovery test reports","IR / Ops","Annual","High","Not Started",""
"SOC2-CC8.1","SOC 2","Change Management","CC8.1","Authorize, design, develop, configure, document, test, approve, and implement changes","Change management process with approvals and testing.","Change tickets, peer reviews, test evidence","Engineering","Per change","High","Not Started",""
"SOC2-CC9.1","SOC 2","Risk Mitigation","CC9.1","Identify, select, and develop risk mitigation activities","BCP/DR planning and insurance.","BCP, DR plan, insurance policies","Risk Manager","Annual","High","Not Started",""
"SOC2-CC9.2","SOC 2","Vendor Management","CC9.2","Vendor and business partner risk management","Vendor due diligence, DPAs, ongoing monitoring.","Vendor risk assessments, SOC2 reports of vendors","Procurement / Security","Annual","High","Not Started",""
"SOC2-A1.1","SOC 2","Availability","A1.1","Capacity management","Monitor capacity and forecast demand.","Capacity reports","Ops","Monthly","Medium","Not Started",""
"SOC2-A1.2","SOC 2","Availability","A1.2","Environmental protections, backup, recovery","Backups tested; redundancy in place.","Backup logs, restore tests","Ops","Quarterly","High","Not Started",""
"SOC2-A1.3","SOC 2","Availability","A1.3","Test recovery procedures","Periodic DR/failover tests.","DR test reports","Ops","Annual","High","Not Started",""
"SOC2-C1.1","SOC 2","Confidentiality","C1.1","Identify and maintain confidential information","Data classification policy.","Data classification matrix","Security","Annual","High","Not Started",""
"SOC2-C1.2","SOC 2","Confidentiality","C1.2","Dispose of confidential information","Secure disposal procedures.","Disposal logs","IT Ops","Per event","High","Not Started",""
"SOC2-PI1.1","SOC 2","Processing Integrity","PI1.1","Obtain or generate accurate, complete, relevant information","Input validation and reconciliation.","Validation rules, reconciliation reports","Engineering","Continuous","Medium","Not Started",""
"SOC2-PI1.2","SOC 2","Processing Integrity","PI1.2","Process inputs completely and accurately","Job monitoring, error handling.","Job logs, error queues","Ops","Continuous","Medium","Not Started",""
"SOC2-PI1.3","SOC 2","Processing Integrity","PI1.3","Process outputs completely and accurately","Output reconciliation.","Output logs","Ops","Continuous","Medium","Not Started",""
"SOC2-PI1.4","SOC 2","Processing Integrity","PI1.4","Store inputs and outputs completely and accurately","Storage integrity checks.","Hash checks, storage audits","Ops","Quarterly","Medium","Not Started",""
"SOC2-PI1.5","SOC 2","Processing Integrity","PI1.5","Store inputs/outputs to maintain completeness","Retention and integrity controls.","Retention policy","Compliance","Annual","Medium","Not Started",""
"SOC2-P1.1","SOC 2","Privacy","P1.1","Notice and communication of objectives","Publish privacy notice.","Privacy notice URL","Privacy / Legal","Annual","High","Not Started",""
"SOC2-P2.1","SOC 2","Privacy","P2.1","Choice and consent","Capture and manage user consent.","Consent records, CMP","Privacy","Continuous","High","Not Started",""
"SOC2-P3.1","SOC 2","Privacy","P3.1","Collection","Limit collection to disclosed purposes.","Data inventory","Privacy","Annual","Medium","Not Started",""
"SOC2-P4.1","SOC 2","Privacy","P4.1","Use, retention, and disposal","Data retention schedule and purge process.","Retention schedule, purge logs","Privacy","Quarterly","Medium","Not Started",""
"SOC2-P5.1","SOC 2","Privacy","P5.1","Access","Provide data subject access rights.","DSAR procedure, ticket logs","Privacy","Per request","High","Not Started",""
"SOC2-P6.1","SOC 2","Privacy","P6.1","Disclosure to third parties","DPAs and transfer mechanisms.","DPAs, SCCs","Legal","Per vendor","High","Not Started",""
"SOC2-P7.1","SOC 2","Privacy","P7.1","Quality","Mechanisms to maintain accurate personal data.","Update workflows","Privacy","Continuous","Medium","Not Started",""
"SOC2-P8.1","SOC 2","Privacy","P8.1","Monitoring and enforcement","Privacy complaint handling and monitoring.","Complaint log","Privacy","As needed","Medium","Not Started",""
